id,severity,original_location,finding,required_correction,final_status,closure_evidence
A17,P1,"8份Kimi共1,149个U列数学/shape单元格",中间形状未转换符号；新S是verify但U列仍用S表示context，新N是head但U仍作tokens,按语义转换每类公式，不允许漏列,closed,"semantic-fix-recheck.json
template-mechanical-audit.json"
A18,P2,ToolBench_IR_bert_based_uncased 的12层；AC2起、E6:F7等,BERT encoder被套文本decode/verify与历史KV cache,使用编码/检索阶段L_text；Q/K/V同序列长度；参考BERT非decoder分支禁用cache,closed,"role-sources/receipts.json
semantic-fix-recheck.json
workbook-controls-audit.json"
A19,P2,34模型中的913个视觉position_and_cache行,当前投影L_img被改成独立L_KV，下一attention又用L_img,无有据历史cache时同用L_img；视觉编码与文本decode区分,closed,"semantic-fix-recheck.json
template-mechanical-audit.json"
A20,P2,10份MiniCPM-o的240个音频cache行,未区分离线与流式encoder缓存条件,固定源码确有streaming cache，保留有条件分支；离线用L_audio，不得全部删除音频cache,closed,"role-sources/receipts.json
semantic-fix-recheck.json"
A21,P2,10份MiniCPM-o `audio_config.optional_decoder`共240层,Whisper配置残留decoder_layers不等于实际构造；这10版audio只实例化MiniCPMWhisperEncoder,从模型已展开层总数移除未实例化decoder；可另保留配置字段注记,closed,"role-sources/receipts.json
layer-source-reconciliation.json"
A22,P2,8份MiniCPM-o-4.5变体的tts_config各20层,语音生成组件被标文本decode/verify和S_verify,单列语音token阶段及序列长度,closed,"semantic-fix-recheck.json
layer-source-reconciliation.json"
A23,P2,Eurux-8x22b-kto/nca C15、两者及MiniCPM-MoE C14,漏num_local_experts；专家宽字段实际在intermediate_size却显示专家不适用,按模型语义读取别名，E=8并区分Dense/专家宽,closed,"independent-configs/receipts.json
semantic-fix-recheck.json
parameter-cells-audit.json"
A24,P1,K3 69个KDA核心AD公式，首处AD14,盲替换把递归矩阵状态S改成context长度L_KV：`L_KV=L_KV̄+βkδᵀ`,矩阵状态改专用符号State；与上下文长度分开；所有69处复验,closed,"api-hardware/final-api-hardware-audit.md#AH-08
semantic-fix-recheck.json"
A25,P1,8份Kimi新表所有NVIDIA/AMD导出路径,只导出chain，丢source compute中的level/condition；AC只拼Ascend,保留每平台完整条件，不能凭API名声称条件路径,closed,"api-hardware/final-api-hardware-audit.md#AH-09
semantic-fix-recheck.json"
A26,P2,K3 `k3-t1.s15/k3-t2.s15` KDA o_norm,真实为FusedRMSNormGated(sigmoid)，引用却写普通KimiRMSNorm,引真实KimiDeltaAttention调用或FLA实现，保留融合边界,closed,"api-hardware/final-api-hardware-audit.md#AH-06
api-hardware/frozen-artifacts-audit.json"
A27,P2,旧Linear family `/facts/context`、architecture `/config/context`,已有model_max_length=1048576，却显示未知,填配置上限并声明不等于实测质量/运行上限,closed,legacy-site/frozen-recheck.json#L3_linear_context
A28,P2,MiniCPM3-4B与RAG-LoRA 模型参数C12(V),MLA的V因无显式字段被写“不适用”,4B固定源码V=2560/40=64；其他逐版证实或标未核验，不可非MLA式不适用,closed,"role-sources/receipts.json
semantic-fix-recheck.json
parameter-cells-audit.json"
A29,P2,SciCore-Omics gene_config 12层外部shape,新增层仍H_unknown，配置dim_model=512已知,填已知外部宽度512，内部专用计算仍可未知,closed,"semantic-fix-recheck.json
parameter-cells-audit.json"
A30,P2,MiniCPM-Embedding、MiniCPM-Reranker、VisRAG-Ret 各40层；AC2起、E6:F7及参数S/T,前两份固定配置is_causal=false仍被标decode/verify；第三份固定forward为整段图文embedding检索，也套verify≤8,前两份L_text单次非因果检索；VisRAG使用L_retrieval且保留因果底座；不可按RAG名称或is_decoder=false泛化EVisRAG/Kimi；公开验证说明不得继续声称所有表T=B*S,closed,"role-sources/retrieval-receipts.json
role-sources/retrieval-card-receipts.json
semantic-fix-recheck.json
parameter-cells-audit.json
final-baseline.json"
