版本,model_id,组件,层号_1based,层类型,模板,步骤序号,模块,步骤,数学关系,输入shape,逻辑权重shape,打包shape与dtype,输出shape,中间与缓存,阶段,精度,逻辑参数计数_本步骤,权重证据,配置或检查点revision,PyTorch接口,来源标识与链接,边界说明
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,11,attention,注意力得分与归一化,P=softmax(QKᵀ×scale+causal_mask)；Flash/MLA内核无需物化完整P,"Q:[B,64,T,192]; K:[B,64,S,192]",,,"P:[B,64,T,S]（数学逻辑）","参考展开K/V:[B,64,S,192] / [B,64,S,128]; 压缩MLA语义cache:[Nblocks,block_size,512+64]；具体生产布局/量化另见API分支","prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证,0,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,"torch.matmul(Q,K.transpose(2,3)) × scale → 加mask → torch.nn.functional.softmax(FP32).to(Q.dtype) → torch.nn.functional.dropout（按training开关）","c5baa6bc5b14 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3Attention.forward L751-857 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L751
c5baa6bc5b14-816 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3Attention.forward / 步骤语句 L816-840 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L816",prefill S=history+T；decode T=1。不同backend的分页轴、KV dtype、DCP分片不能统一假定。
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,12,attention,对V加权汇聚,O=P @ V，转置/合并heads,"P:[B,64,T,S]; V:[B,64,S,128]",,,"[B,T,8192]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证,0,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,"torch.matmul(P,V) → Tensor.transpose(1,2).contiguous() → Tensor.reshape(B,T,heads×Dv)","c5baa6bc5b14 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3Attention.forward L751-857 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L751
c5baa6bc5b14-840 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3Attention.forward / 步骤语句 L840-852 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L840",
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,13,attention,MLA输出投影,Y=X @ Wᵀ,"[N,8192]","model.layers.0.self_attn.o_proj.weight_scale_inv: metadata
model.layers.0.self_attn.o_proj.weight: 7168x8192","model.layers.0.self_attn.o_proj.weight_scale_inv: 56x64 F32
model.layers.0.self_attn.o_proj.weight: 7168x8192 F8_E4M3","[N,7168]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：F32；F8_E4M3；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,58720256,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,Linear.forward → torch.nn.functional.linear,"cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168
54ee794d774c pytorch/pytorch@9b6e45278f06dc46c14d32220063f01d249fc21d torch/nn/modules/linear.py::Linear.forward L130-134 https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130",
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,14,residual,注意力残差合并,Y=residual+branch；K3块边界prefix_sum可能为空并新开残差块,"residual,branch:[N,7168]",,,"[N,7168]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证,0,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,DeepseekV3DecoderLayer.forward（函数上下文，不是本步骤的有序调用链）,cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168,
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,15,norm,前馈前归一化,RMSNorm: X×rsqrt(mean(X²)+eps)×γ,"[N,7168]",model.layers.0.post_attention_layernorm.weight: 7168,model.layers.0.post_attention_layernorm.weight: 7168 BF16,"[N,7168]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,7168,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,"DeepseekV3RMSNorm.forward：Tensor.float/to(FP32) → Tensor.pow(2).mean(-1,keepdim=True) → torch.rsqrt(var+eps) → 输入乘归一化因子 → 转输入dtype并乘gamma",e37fe49f1452 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3RMSNorm.forward L103-108 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L103,
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,16,ffn,Dense门控投影,Y=X @ Wᵀ,"[N,7168]","model.layers.0.mlp.gate_proj.weight_scale_inv: metadata
model.layers.0.mlp.gate_proj.weight: 18432x7168","model.layers.0.mlp.gate_proj.weight_scale_inv: 144x56 F32
model.layers.0.mlp.gate_proj.weight: 18432x7168 F8_E4M3","[N,18432]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：F32；F8_E4M3；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,132120576,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,Linear.forward → torch.nn.functional.linear,"cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168
54ee794d774c pytorch/pytorch@9b6e45278f06dc46c14d32220063f01d249fc21d torch/nn/modules/linear.py::Linear.forward L130-134 https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130",
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,17,ffn,Dense上投影,Y=X @ Wᵀ,"[N,7168]","model.layers.0.mlp.up_proj.weight_scale_inv: metadata
model.layers.0.mlp.up_proj.weight: 18432x7168","model.layers.0.mlp.up_proj.weight_scale_inv: 144x56 F32
model.layers.0.mlp.up_proj.weight: 18432x7168 F8_E4M3","[N,18432]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：F32；F8_E4M3；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,132120576,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,Linear.forward → torch.nn.functional.linear,"cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168
54ee794d774c pytorch/pytorch@9b6e45278f06dc46c14d32220063f01d249fc21d torch/nn/modules/linear.py::Linear.forward L130-134 https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130",
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,18,ffn,门控激活,SiLU(gate)×up,"gate/up:[N,18432]",,,"[N,18432]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证,0,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,DeepseekV3MLP.forward（函数上下文，不是本步骤的有序调用链）,ed2d079af130 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3MLP.forward L388-390 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L388,激活先计算FP32再回写的分支见来源；不是把I32/U8容器直接相乘。
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,19,ffn,Dense下投影,Y=X @ Wᵀ,"[N,18432]","model.layers.0.mlp.down_proj.weight_scale_inv: metadata
model.layers.0.mlp.down_proj.weight: 7168x18432","model.layers.0.mlp.down_proj.weight_scale_inv: 56x144 F32
model.layers.0.mlp.down_proj.weight: 7168x18432 F8_E4M3","[N,7168]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：F32；F8_E4M3；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,132120576,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,Linear.forward → torch.nn.functional.linear,"cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168
54ee794d774c pytorch/pytorch@9b6e45278f06dc46c14d32220063f01d249fc21d torch/nn/modules/linear.py::Linear.forward L130-134 https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130",
Kimi-K2-Base,k2-base,decoder-1,1,MLA/Dense,k2-base-t1,20,residual,前馈残差合并,Y=residual+branch；K3块边界prefix_sum可能为空并新开残差块,"residual,branch:[N,7168]",,,"[N,7168]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",继承输入；归一化/评分通常显式FP32，详见源码；最终设备计算dtype未统一验证,0,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,DeepseekV3DecoderLayer.forward（函数上下文，不是本步骤的有序调用链）,cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168,
Kimi-K2-Base,k2-base,decoder-2,2,MLA/MoE,k2-base-t2,1,norm,输入归一化,RMSNorm: X×rsqrt(mean(X²)+eps)×γ,"[N,7168]",model.layers.1.input_layernorm.weight: 7168,model.layers.1.input_layernorm.weight: 7168 BF16,"[N,7168]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：BF16；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,7168,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,"DeepseekV3RMSNorm.forward：Tensor.float/to(FP32) → Tensor.pow(2).mean(-1,keepdim=True) → torch.rsqrt(var+eps) → 输入乘归一化因子 → 转输入dtype并乘gamma",e37fe49f1452 moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3RMSNorm.forward L103-108 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L103,
Kimi-K2-Base,k2-base,decoder-2,2,MLA/MoE,k2-base-t2,2,attention,q_a_proj,Y=X @ Wᵀ,"[N,7168]","model.layers.1.self_attn.q_a_proj.weight_scale_inv: metadata
model.layers.1.self_attn.q_a_proj.weight: 1536x7168","model.layers.1.self_attn.q_a_proj.weight_scale_inv: 12x56 F32
model.layers.1.self_attn.q_a_proj.weight: 1536x7168 F8_E4M3","[N,1536]",无持久缓存,"prefill: N=ΣT_i（padded参考为B×T）；decode: T=1,N=B；推测验证可T>1。视觉仅编码/预填充，不逐文本token重复。",权重/辅助张量存储：F32；F8_E4M3；实际激活、累加及cache dtype由运行分支决定，本轮未统一验证。I32/U8可能是量化打包容器。,11010048,同尺寸Instruct模板推导，非Base文件头审计,Base未独立权重审计,Linear.forward → torch.nn.functional.linear,"cca6a392eb8c moonshotai/Kimi-K2-Base@ce72df012259dcc55d945e890f815fe7ef69159c modeling_deepseek.py::DeepseekV3DecoderLayer.forward L1168-1228 https://huggingface.co/moonshotai/Kimi-K2-Base/blob/ce72df012259dcc55d945e890f815fe7ef69159c/modeling_deepseek.py#L1168
54ee794d774c pytorch/pytorch@9b6e45278f06dc46c14d32220063f01d249fc21d torch/nn/modules/linear.py::Linear.forward L130-134 https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130",
