"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"backbone_config.image_token_id","248056","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.is_encoder_decoder","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.label2id.LABEL_0","0","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.label2id.LABEL_1","1","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.model_type","qwen3_5","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.output_attentions","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.output_hidden_states","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.problem_type","null","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.return_dict","true","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.architectures","null","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.attention_bias","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.attention_dropout","0","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.attn_output_gate","true","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.bos_token_id","null","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.chunk_size_feed_forward","0","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.dtype","bfloat16","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.eos_token_id","248044","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.full_attention_interval","4","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.head_dim","256","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.hidden_act","silu","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.hidden_size","2560","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.id2label.0","LABEL_0","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.id2label.1","LABEL_1","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.initializer_range","0.02","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.intermediate_size","9216","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.is_encoder_decoder","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.label2id.LABEL_0","0","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.label2id.LABEL_1","1","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.layer_types","[""linear_attention"",""linear_attention"",""linear_attention"",""full_attention"",""linear_attention"",""linear_attention"",""linear_attention"",""full_attention"",""linear_attention"",""linear_attention"",""linear_attention"",""full_attention"",""linear_attention"",""linear_attention"",""linear_attention"",""full_attention"",""linear_attention"",""linear_attention"",""linear_attention"",""full_attention"",""linear_attention"",""linear_attention"",""linear_attention"",""full_attention"",""linear_attention"",""linear_attention"",""linear_attention"",""full_attention"",""linear_attention"",""linear_attention"",""linear_attention"",""full_attention""]","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.linear_conv_kernel_dim","4","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.linear_key_head_dim","128","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.linear_num_key_heads","16","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.linear_num_value_heads","32","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.linear_value_head_dim","128","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.mamba_ssm_dtype","float32","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.max_position_embeddings","262144","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.mlp_only_layers","[]","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.model_type","qwen3_5_text","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.mtp_num_hidden_layers","1","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.mtp_use_dedicated_embeddings","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.num_attention_heads","16","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.num_hidden_layers","32","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.num_key_value_heads","4","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.output_attentions","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.output_hidden_states","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.pad_token_id","null","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.partial_rotary_factor","0.25","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.problem_type","null","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.return_dict","true","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.rms_norm_eps","0.000001","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.rope_parameters.mrope_interleaved","true","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.rope_parameters.mrope_section","[11,11,10]","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.rope_parameters.partial_rotary_factor","0.25","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.rope_parameters.rope_theta","10000000","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.rope_parameters.rope_type","default","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.tie_word_embeddings","true","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.use_cache","true","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.text_config.vocab_size","248320","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.tie_word_embeddings","true","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.transformers_version","5.13.1","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.video_token_id","248057","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.architectures","null","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.chunk_size_feed_forward","0","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.deepstack_visual_indexes","[]","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.depth","24","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.dtype","bfloat16","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.hidden_act","gelu_pytorch_tanh","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.hidden_size","1024","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.id2label.0","LABEL_0","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.id2label.1","LABEL_1","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.in_channels","3","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.initializer_range","0.02","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.intermediate_size","4096","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.is_encoder_decoder","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.label2id.LABEL_0","0","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.label2id.LABEL_1","1","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.model_type","qwen3_5_vision","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.num_heads","16","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.num_position_embeddings","2304","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.out_hidden_size","2560","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.output_attentions","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.output_hidden_states","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.patch_size","16","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.problem_type","null","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.return_dict","true","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.spatial_merge_size","2","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_config.temporal_patch_size","2","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_end_token_id","248054","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_config.vision_start_token_id","248053","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"backbone_model_name_or_path","Qwen/Qwen3.5-4B","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"control_frequency_hz","20","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"dit_depth","16","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"dit_dropout","0","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"dit_hidden_size","2048","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"dit_mlp_ratio","3.5","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"dit_mrope_section","[11,11,10]","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"dit_num_heads","16","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"dit_partial_rotary_factor","0.25","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"dit_rope_theta","10000000","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"dtype","bfloat16","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"eos_token_id","248046","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"freeze_backbone","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"hidden_size","2560","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"history_image_keys","[""observation.images.image""]","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"history_video_fps","2","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"history_video_sec","30","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"image_keys","[""observation.images.image"",""observation.images.wrist_image""]","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"model_type","simplememvla","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"native_video_fps","20","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"pad_token_id","248044","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"robot_tag","Franka Panda single-arm robot","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"state_dim","9","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"state_dropout_prob","0","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"subtask_key","subtask","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"timestep_beta_alpha","1.5","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"timestep_beta_beta","1","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"transformers_version","5.13.1","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"use_cache","false","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"use_proprio","true","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"variable_history","true","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
"vl_loss_weight","1","","https://huggingface.co/yinchenghust/simplememvla_libero/resolve/82ec04c6c35987e38b68e57a7a08c11c72da5d47/config.json",""
