"符号","含义","本模型值 / 场景输入","来源","条件与缺口"
"I、Ie","Dense intermediate intermediate_size、MoE expert intermediate moe_intermediate_size","11264 / 1408","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","Dense / MoE专家宽度；不是内存实测"
"E/K/El","MoE 总 expert 数、每 token top-k、每 EP rank expert 数 El=E/moe_ep_size","64 / 6 / El=E/EP","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","EP实际布局未知；不推定通信开销"
"R","routed_expert_hidden_size（MoE latent 宽度）","不适用","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","非latent-MoE时不适用"
"Nb/Lb","paged-cache block 数、block size","未核验","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","paged-cache布局与块大小未核验"
"Nc/Nr","KDA convolution cache 行数（1+B）和 recurrent-state 行数（1+B*verify_size）；它们不是 MLA 的 paged block 数","未核验","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","原模板缓存行数假设非通用模型事实，未自动套用"
"模型","Kimi-VL-A3B-Thinking-2506","","",""
"TP","Tensor parallel场景假设","1","",""
"EP","Expert parallel场景假设","1","",""
"L_KV","未核验","","",""
"阶段","文本decode/verify；视觉/音频/动作各自阶段","","",""
"覆盖状态","逐层配置/数学推导；部分模块未知","","",""
"配置层数（已展开）","54","","",""
"算子行数","674","","",""
"S语义","本request verify长度；prefill用独立长度L_prefill","","",""
"shape口径","TP=1逻辑视图，权重逻辑[out,in]；物理存储另列","","",""
"dtype/format","存储容器≠激活/累加dtype≠物理format","","",""
"性能","duration/计算利用率/mte/scalar未实测","","",""
"来源快照","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json","","",""
"K3模板审计","模型独立配置，不继承K3数值","","",""
"字段路径","配置值","","",""
"architectures","[""KimiVLForConditionalGeneration""]","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"auto_map.AutoConfig","configuration_kimi_vl.KimiVLConfig","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"auto_map.AutoModel","modeling_kimi_vl.KimiVLForConditionalGeneration","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"auto_map.AutoModelForCausalLM","modeling_kimi_vl.KimiVLForConditionalGeneration","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vision_config.model_type","moonvit","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vision_config.patch_size","14","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vision_config.num_attention_heads","16","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vision_config.num_hidden_layers","27","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vision_config.hidden_size","1152","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vision_config.intermediate_size","4304","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vision_config.init_pos_emb_height","64","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vision_config.init_pos_emb_width","64","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vision_config.merge_kernel_size","[2,2]","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vision_config.torch_dtype","bfloat16","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.vocab_size","163840","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.max_position_embeddings","131072","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.hidden_size","2048","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.intermediate_size","11264","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.moe_intermediate_size","1408","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.num_hidden_layers","27","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.num_attention_heads","16","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.n_shared_experts","2","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.n_routed_experts","64","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.ep_size","1","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.routed_scaling_factor","2.446","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.kv_lora_rank","512","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.q_lora_rank","null","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.qk_rope_head_dim","64","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.v_head_dim","128","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.qk_nope_head_dim","128","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.topk_method","noaux_tc","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.n_group","1","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.topk_group","1","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.num_experts_per_tok","6","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.moe_layer_freq","1","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.first_k_dense_replace","1","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.norm_topk_prob","true","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.scoring_func","sigmoid","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.aux_loss_alpha","0.001","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.seq_aux","true","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.num_key_value_heads","16","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.hidden_act","silu","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.initializer_range","0.02","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.rms_norm_eps","0.00001","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.pretraining_tp","1","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.use_cache","true","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.rope_theta","800000","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.rope_scaling","null","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.attention_bias","false","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.attention_dropout","0","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.bos_token_id","163584","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.pad_token_id","163839","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.eos_token_id","163585","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.torch_dtype","bfloat16","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"text_config.tie_word_embeddings","false","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"ignore_index","-100","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"media_placeholder_token_id","163605","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"torch_dtype","bfloat16","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"transformers_version","4.50.3","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"tie_word_embeddings","false","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"vocab_size","163840","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
"model_type","kimi_vl","","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json",""
