id,name,family,status,layers,rows,config_status,config_source,revision,gap
kimi-kimi-vl-a3b-thinking,Kimi-VL-A3B-Thinking,Kimi,逐层配置/数学推导；部分模块未知,54,674,固定配置,https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking/resolve/7d99e220af610d8624fcba22b2c076c7ed528f14/config.json,7d99e220af610d8624fcba22b2c076c7ed528f14,
kimi-kimi-vl-a3b-thinking-2506,Kimi-VL-A3B-Thinking-2506,Kimi,逐层配置/数学推导；部分模块未知,54,674,固定配置,https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking-2506/resolve/aa1730989e7558695b44ee493623e03bd325a994/config.json,aa1730989e7558695b44ee493623e03bd325a994,
openbmb-agentcpm-explore,AgentCPM-Explore,OpenBMB,逐层配置/数学推导；部分模块未知,36,469,固定配置,https://huggingface.co/openbmb/AgentCPM-Explore/resolve/f528bbb55317bd291387ba3347551dd3414e698e/config.json,f528bbb55317bd291387ba3347551dd3414e698e,
openbmb-agentcpm-gui,AgentCPM-GUI,OpenBMB,逐层配置/数学推导；部分模块未知,55,716,固定配置,https://huggingface.co/openbmb/AgentCPM-GUI/resolve/433b33feda9fed1e13b509cfd65d73f0a3fc4dff/config.json,433b33feda9fed1e13b509cfd65d73f0a3fc4dff,
openbmb-agentcpm-report,AgentCPM-Report,OpenBMB,逐层配置/数学推导；部分模块未知,32,417,固定配置,https://huggingface.co/openbmb/AgentCPM-Report/resolve/c6232d64a47ccfa0c4aed240d325cbc0fb9cbc62/config.json,c6232d64a47ccfa0c4aed240d325cbc0fb9cbc62,
openbmb-bitcpm4-0.5b,BitCPM4-0.5B,OpenBMB,逐层配置/数学推导；部分模块未知,24,313,固定配置,https://huggingface.co/openbmb/BitCPM4-0.5B/resolve/4d0e4a9e2257ceb39d99b85bb946083467e8476f/config.json,4d0e4a9e2257ceb39d99b85bb946083467e8476f,
openbmb-bitcpm4-1b,BitCPM4-1B,OpenBMB,逐层配置/数学推导；部分模块未知,52,677,固定配置,https://huggingface.co/openbmb/BitCPM4-1B/resolve/70d989c4972efa636e8a2211975515d188e000b0/config.json,70d989c4972efa636e8a2211975515d188e000b0,
openbmb-consjudge-llama,ConsJudge-llama,OpenBMB,逐层配置/数学推导；部分模块未知,32,417,固定配置,https://huggingface.co/sanwuge/ConsJudge-llama/resolve/547a344231cbfaee19984ad573ad274fffabf525/config.json,547a344231cbfaee19984ad573ad274fffabf525,
openbmb-consjudge-qwen,ConsJudge-qwen,OpenBMB,逐层配置/数学推导；部分模块未知,48,625,固定配置,https://huggingface.co/sanwuge/ConsJudge-qwen/resolve/c4d7d2fbca0b79800dde1002aadfa0d27e9de437/config.json,c4d7d2fbca0b79800dde1002aadfa0d27e9de437,
openbmb-cpm-ant-,CPM-Ant+,OpenBMB,资料缺口；未逐层分析,0,1,配置缺失,https://github.com/OpenBMB/CPM-Live,,未找到可直接关联的公开checkpoint配置，不能由底座推定该版本层数
openbmb-cpm-ant-10b,cpm-ant-10b,OpenBMB,逐层配置/数学推导；部分模块未知,48,625,固定配置,https://huggingface.co/openbmb/cpm-ant-10b/resolve/3b53c0f95f625de6ae676f9edf2cc65930f8b4b8/config.json,3b53c0f95f625de6ae676f9edf2cc65930f8b4b8,
openbmb-cpm-bee-10b,cpm-bee-10b,OpenBMB,逐层配置/数学推导；部分模块未知,48,625,固定配置,https://huggingface.co/openbmb/cpm-bee-10b/resolve/97ee8f5222c018700a4eb3778e2b873ef6821609/config.json,97ee8f5222c018700a4eb3778e2b873ef6821609,
openbmb-cpm-bee-1b,cpm-bee-1b,OpenBMB,逐层配置/数学推导；部分模块未知,48,625,固定配置,https://huggingface.co/openbmb/cpm-bee-1b/resolve/10369801ffa033b1da19044632dc4017a42fd06e/config.json,10369801ffa033b1da19044632dc4017a42fd06e,
openbmb-cpm-bee-2b,cpm-bee-2b,OpenBMB,逐层配置/数学推导；部分模块未知,48,625,固定配置,https://huggingface.co/openbmb/cpm-bee-2b/resolve/fe5bd724409d528c77851c869bd484edbae30118/config.json,fe5bd724409d528c77851c869bd484edbae30118,
openbmb-cpm-bee-5b,cpm-bee-5b,OpenBMB,逐层配置/数学推导；部分模块未知,48,625,固定配置,https://huggingface.co/openbmb/cpm-bee-5b/resolve/aec302a1eb74775bd9c9c9da37414aed7880f8a1/config.json,aec302a1eb74775bd9c9c9da37414aed7880f8a1,
openbmb-debater-2b,DEBATER-2B,OpenBMB,资料缺口；未逐层分析,0,1,配置缺失,https://huggingface.co/bigtailwolf/DEBATER-2B/resolve/fcacef4c2913b335b6ed015d768c58da8a14c267/config.json,fcacef4c2913b335b6ed015d768c58da8a14c267,HTTP Error 404: Not Found
openbmb-debater-4b,DEBATER-4B,OpenBMB,资料缺口；未逐层分析,0,1,配置缺失,https://huggingface.co/bigtailwolf/DEBATER-4B/resolve/938994a0b2d0065a2e3fd33af53886fcec8b2132/config.json,938994a0b2d0065a2e3fd33af53886fcec8b2132,HTTP Error 404: Not Found
openbmb-deepthinkvla,DeepThinkVLA,OpenBMB,资料缺口；未逐层分析,0,1,配置缺失,https://github.com/OpenBMB/DeepThinkVLA,,未找到可直接关联的公开checkpoint配置，不能由底座推定该版本层数
openbmb-eurus-70b-nca,Eurus-70b-nca,OpenBMB,逐层配置/数学推导；部分模块未知,80,1041,固定配置,https://huggingface.co/openbmb/Eurus-70b-nca/resolve/66eda400278a77520ee80adcf89643a5e52df6d6/config.json,66eda400278a77520ee80adcf89643a5e52df6d6,
openbmb-eurus-70b-sft,Eurus-70b-sft,OpenBMB,逐层配置/数学推导；部分模块未知,80,1041,固定配置,https://huggingface.co/openbmb/Eurus-70b-sft/resolve/0557982b57c428d68ba6dff3d91026c6f5ca99be/config.json,0557982b57c428d68ba6dff3d91026c6f5ca99be,
openbmb-eurus-7b-kto,Eurus-7b-kto,OpenBMB,逐层配置/数学推导；部分模块未知,32,417,固定配置,https://huggingface.co/openbmb/Eurus-7b-kto/resolve/c78e641e893595b9ac95fe1ba607e60252108dfb/config.json,c78e641e893595b9ac95fe1ba607e60252108dfb,
openbmb-eurus-7b-sft,Eurus-7b-sft,OpenBMB,逐层配置/数学推导；部分模块未知,32,417,固定配置,https://huggingface.co/openbmb/Eurus-7b-sft/resolve/5ad3d773784b5dcbe6b5b4921e531e072c5525b3/config.json,5ad3d773784b5dcbe6b5b4921e531e072c5525b3,
openbmb-eurus-rm-7b,Eurus-RM-7b,OpenBMB,逐层配置/数学推导；部分模块未知,32,417,固定配置,https://huggingface.co/openbmb/Eurus-RM-7b/resolve/94059186e6ab8988905144023a8762f8e9aaf51c/config.json,94059186e6ab8988905144023a8762f8e9aaf51c,
openbmb-eurux-8x22b-kto,Eurux-8x22b-kto,OpenBMB,逐层配置/数学推导；部分模块未知,56,841,固定配置,https://huggingface.co/openbmb/Eurux-8x22b-kto/resolve/c3f157cdf4aa26efcbaed8f5c9721dc43c905d30/config.json,c3f157cdf4aa26efcbaed8f5c9721dc43c905d30,
openbmb-eurux-8x22b-nca,Eurux-8x22b-nca,OpenBMB,逐层配置/数学推导；部分模块未知,56,841,固定配置,https://huggingface.co/openbmb/Eurux-8x22b-nca/resolve/712abe8b36af51be006da624f4997203a0beb477/config.json,712abe8b36af51be006da624f4997203a0beb477,
openbmb-evisrag-3b,EVisRAG-3B,OpenBMB,逐层配置/数学推导；部分模块未知,68,885,固定配置,https://huggingface.co/openbmb/EVisRAG-3B/resolve/4bdee6eb5021216b9e776b9c4bf6352a74ff7c64/config.json,4bdee6eb5021216b9e776b9c4bf6352a74ff7c64,
openbmb-evisrag-7b,EVisRAG-7B,OpenBMB,逐层配置/数学推导；部分模块未知,60,781,固定配置,https://huggingface.co/openbmb/EVisRAG-7B/resolve/a3a1f46475270a5b1faff944c8eccf4f145d389e/config.json,a3a1f46475270a5b1faff944c8eccf4f145d389e,
openbmb-mathform-8b,MathForm-8B,OpenBMB,逐层配置/数学推导；部分模块未知,36,469,固定配置,https://huggingface.co/openbmb/MathForm-8B/resolve/8f6d09e66bd5821d985a2150ba3f09ba42e028ba/config.json,8f6d09e66bd5821d985a2150ba3f09ba42e028ba,
openbmb-minicpm-1b-sft-bf16,MiniCPM-1B-sft-bf16,OpenBMB,逐层配置/数学推导；部分模块未知,52,677,固定配置,https://huggingface.co/openbmb/MiniCPM-1B-sft-bf16/resolve/85252935bfc9acb3ee93dcea4b793fb87a0b43e8/config.json,85252935bfc9acb3ee93dcea4b793fb87a0b43e8,
openbmb-minicpm-2b-128k,MiniCPM-2B-128k,OpenBMB,逐层配置/数学推导；部分模块未知,40,521,固定配置,https://huggingface.co/openbmb/MiniCPM-2B-128k/resolve/6011acb51acf3e8c0cb10c428d7064dc39431720/config.json,6011acb51acf3e8c0cb10c428d7064dc39431720,
openbmb-minicpm-2b-dpo-bf16,MiniCPM-2B-dpo-bf16,OpenBMB,逐层配置/数学推导；部分模块未知,40,521,固定配置,https://huggingface.co/openbmb/MiniCPM-2B-dpo-bf16/resolve/9d6de77274c9f364037bf8506b4a831d3520ae79/config.json,9d6de77274c9f364037bf8506b4a831d3520ae79,
openbmb-minicpm-2b-sft-bf16,MiniCPM-2B-sft-bf16,OpenBMB,逐层配置/数学推导；部分模块未知,40,521,固定配置,https://huggingface.co/openbmb/MiniCPM-2B-sft-bf16/resolve/4ec16344ac13e6ef5010aeecaa533369ac8eb53c/config.json,4ec16344ac13e6ef5010aeecaa533369ac8eb53c,
openbmb-minicpm-4.1-8b-marlin,MiniCPM-4.1-8B-Marlin,OpenBMB,逐层配置/数学推导；部分模块未知,32,417,固定配置,https://huggingface.co/openbmb/MiniCPM-4.1-8B-Marlin/resolve/bc89322c880e83a5f3384adea564a45bf93b478d/config.json,bc89322c880e83a5f3384adea564a45bf93b478d,
openbmb-minicpm-embedding,MiniCPM-Embedding,OpenBMB,逐层配置/数学推导；部分模块未知,40,521,固定配置,https://huggingface.co/openbmb/MiniCPM-Embedding/resolve/dc0f82b4466b254dddc25787bf7b1cbc28f755b0/config.json,dc0f82b4466b254dddc25787bf7b1cbc28f755b0,
openbmb-minicpm-llama3-v-2_5,MiniCPM-Llama3-V-2_5,OpenBMB,逐层配置/数学推导；部分模块未知,59,768,固定配置,https://huggingface.co/openbmb/MiniCPM-Llama3-V-2_5/resolve/fd7f352fac0e06d0d818b23f98e3ec8c64267a57/config.json,fd7f352fac0e06d0d818b23f98e3ec8c64267a57,
openbmb-minicpm-llama3-v-2_5-gguf,MiniCPM-Llama3-V-2_5-gguf,OpenBMB,资料缺口；未逐层分析,0,1,配置缺失,https://huggingface.co/openbmb/MiniCPM-Llama3-V-2_5-gguf/resolve/d090fbfffeef9f01dfb282b3cf2b1e3360dfd29a/config.json,d090fbfffeef9f01dfb282b3cf2b1e3360dfd29a,HTTP Error 404: Not Found
openbmb-minicpm-moe-8x2b,MiniCPM-MoE-8x2B,OpenBMB,逐层配置/数学推导；部分模块未知,40,601,固定配置,https://huggingface.co/openbmb/MiniCPM-MoE-8x2B/resolve/7495286593bc56a524a42e26eeaee5e185cb7f9c/config.json,7495286593bc56a524a42e26eeaee5e185cb7f9c,
openbmb-minicpm-o-2_6,MiniCPM-o-2_6,OpenBMB,逐层配置/数学推导；部分模块未知,79,1029,固定配置,https://huggingface.co/openbmb/MiniCPM-o-2_6/resolve/06849bfd36da94da1f5a88fa17e8ba63f08a4c4d/config.json,06849bfd36da94da1f5a88fa17e8ba63f08a4c4d,
openbmb-minicpm-o-2_6-int4,MiniCPM-o-2_6-int4,OpenBMB,逐层配置/数学推导；部分模块未知,79,1029,固定配置,https://huggingface.co/openbmb/MiniCPM-o-2_6-int4/resolve/2b72b5775e2c4dd617bcfd088a146cfbd698ce71/config.json,2b72b5775e2c4dd617bcfd088a146cfbd698ce71,
openbmb-minicpm-o-4.5-ascend-flagos,MiniCPM-o-4.5-ascend-FlagOS,OpenBMB,逐层配置/数学推导；部分模块未知,107,1393,固定配置,https://huggingface.co/FlagRelease/MiniCPM-o-4.5-ascend-FlagOS/resolve/60f1ded7a096349f5a44d36ad2f04068b457df24/config.json,60f1ded7a096349f5a44d36ad2f04068b457df24,
openbmb-minicpm-o-4.5-hygon-flagos,MiniCPM-o-4.5-hygon-FlagOS,OpenBMB,逐层配置/数学推导；部分模块未知,107,1393,固定配置,https://huggingface.co/FlagRelease/MiniCPM-o-4.5-hygon-FlagOS/resolve/a316655a110bfc6eeb03979d423c3927da2294d0/config.json,a316655a110bfc6eeb03979d423c3927da2294d0,
openbmb-minicpm-o-4.5-iluvatar-flagos,MiniCPM-o-4.5-iluvatar-FlagOS,OpenBMB,逐层配置/数学推导；部分模块未知,107,1393,固定配置,https://huggingface.co/FlagRelease/MiniCPM-o-4.5-iluvatar-FlagOS/resolve/947384ac0f72866735195abbd4ae5aeb59badcf4/config.json,947384ac0f72866735195abbd4ae5aeb59badcf4,
openbmb-minicpm-o-4.5-metax-flagos,MiniCPM-o-4.5-metax-FlagOS,OpenBMB,逐层配置/数学推导；部分模块未知,107,1393,固定配置,https://huggingface.co/FlagRelease/MiniCPM-o-4.5-metax-FlagOS/resolve/ad47fc00d87baa857008f8da5e0cbf37a913dafb/config.json,ad47fc00d87baa857008f8da5e0cbf37a913dafb,
openbmb-minicpm-o-4.5-nvidia-flagos,MiniCPM-o-4.5-nvidia-FlagOS,OpenBMB,逐层配置/数学推导；部分模块未知,107,1393,固定配置,https://huggingface.co/FlagRelease/MiniCPM-o-4.5-nvidia-FlagOS/resolve/675118b6892a5f7ebe78bad174430754c4b78e04/config.json,675118b6892a5f7ebe78bad174430754c4b78e04,
openbmb-minicpm-o-4.5-zhenwu-flagos,MiniCPM-o-4.5-zhenwu-FlagOS,OpenBMB,逐层配置/数学推导；部分模块未知,107,1393,固定配置,https://huggingface.co/FlagRelease/MiniCPM-o-4.5-zhenwu-FlagOS/resolve/a05b8da0d6d335d0b28fcc3a5d28bda4b4574424/config.json,a05b8da0d6d335d0b28fcc3a5d28bda4b4574424,
openbmb-minicpm-o-4_5,MiniCPM-o-4_5,OpenBMB,逐层配置/数学推导；部分模块未知,107,1393,固定配置,https://huggingface.co/openbmb/MiniCPM-o-4_5/resolve/503e754207c94da6bb26850b4469f367c9ea3582/config.json,503e754207c94da6bb26850b4469f367c9ea3582,
openbmb-minicpm-o-4_5-awq,MiniCPM-o-4_5-AWQ,OpenBMB,逐层配置/数学推导；部分模块未知,107,1393,固定配置,https://huggingface.co/openbmb/MiniCPM-o-4_5-AWQ/resolve/02b87bcf31b1e3bc66094a8f8eba2034605e5073/config.json,02b87bcf31b1e3bc66094a8f8eba2034605e5073,
openbmb-minicpm-o-4_5-gguf,MiniCPM-o-4_5-gguf,OpenBMB,资料缺口；未逐层分析,0,1,配置缺失,https://huggingface.co/openbmb/MiniCPM-o-4_5-gguf/resolve/db25077c33951fe163b42986fba0132e279872a2/config.json,db25077c33951fe163b42986fba0132e279872a2,HTTP Error 404: Not Found
openbmb-minicpm-reranker,MiniCPM-Reranker,OpenBMB,逐层配置/数学推导；部分模块未知,40,521,固定配置,https://huggingface.co/openbmb/MiniCPM-Reranker/resolve/dacfa5bfaa37de25dbfd6e80383bcb14863068c7/config.json,dacfa5bfaa37de25dbfd6e80383bcb14863068c7,
openbmb-minicpm-robotmanip,MiniCPM-RobotManip,OpenBMB,逐层配置/数学推导；部分模块未知,52,652,固定配置,https://huggingface.co/openbmb/MiniCPM-RobotManip/resolve/29cb257541e9f96f493abe21174f8892e5dffe3f/config.json,29cb257541e9f96f493abe21174f8892e5dffe3f,
openbmb-minicpm-robottrack,MiniCPM-RobotTrack,OpenBMB,逐层配置/数学推导；部分模块未知,24,313,固定配置,https://huggingface.co/openbmb/MiniCPM-RobotTrack/resolve/80d32d0b091c3b340a1e4a6c78d441e8af19590e/config.json,80d32d0b091c3b340a1e4a6c78d441e8af19590e,
openbmb-minicpm-s-1b-sft,MiniCPM-S-1B-sft,OpenBMB,逐层配置/数学推导；部分模块未知,52,677,固定配置,https://huggingface.co/openbmb/MiniCPM-S-1B-sft/resolve/e46afa6f3d196527ab75e869184e27c833e8effb/config.json,e46afa6f3d196527ab75e869184e27c833e8effb,
openbmb-minicpm-sala,MiniCPM-SALA,OpenBMB,逐层配置/数学推导；部分模块未知,32,297,固定配置,https://huggingface.co/openbmb/MiniCPM-SALA/resolve/9180fe1db74f71fb81bc7105efe88f6b19c959b0/config.json,9180fe1db74f71fb81bc7105efe88f6b19c959b0,
openbmb-minicpm-v,MiniCPM-V,OpenBMB,逐层配置/数学推导；部分模块未知,40,521,固定配置,https://huggingface.co/openbmb/MiniCPM-V/resolve/7cf70e2964c456f423666e2c183bcd4c87f4fd4b/config.json,7cf70e2964c456f423666e2c183bcd4c87f4fd4b,
openbmb-minicpm-v-2,MiniCPM-V-2,OpenBMB,逐层配置/数学推导；部分模块未知,40,521,固定配置,https://huggingface.co/openbmb/MiniCPM-V-2/resolve/b9a02dbfcc87e471b13f8d1c6963747db31427db/config.json,b9a02dbfcc87e471b13f8d1c6963747db31427db,
openbmb-minicpm-v-2_6,MiniCPM-V-2_6,OpenBMB,资料缺口；未逐层分析,0,1,配置缺失,https://huggingface.co/openbmb/MiniCPM-V-2_6/resolve/6c04d9e3022bcff6e6738dfb1fc19a5cfd2a855f/config.json,6c04d9e3022bcff6e6738dfb1fc19a5cfd2a855f,HTTP Error 401: Unauthorized
openbmb-minicpm-v-2_6-gguf,MiniCPM-V-2_6-gguf,OpenBMB,资料缺口；未逐层分析,0,1,配置缺失,https://huggingface.co/openbmb/MiniCPM-V-2_6-gguf/resolve/48fe6436abf57b3df6ec34f73cdc1fb4b740acb0/config.json,48fe6436abf57b3df6ec34f73cdc1fb4b740acb0,HTTP Error 404: Not Found
openbmb-minicpm-v-4,MiniCPM-V-4,OpenBMB,逐层配置/数学推导；部分模块未知,59,768,固定配置,https://huggingface.co/openbmb/MiniCPM-V-4/resolve/6f69a8235885be89608f3a71ffd40695b379e1e7/config.json,6f69a8235885be89608f3a71ffd40695b379e1e7,
openbmb-minicpm-v-4.6,MiniCPM-V-4.6,OpenBMB,逐层配置/数学推导；部分模块未知,52,652,固定配置,https://huggingface.co/openbmb/MiniCPM-V-4.6/resolve/36f34a661a4bd35d0dc2294cb044d2584646c7d3/config.json,36f34a661a4bd35d0dc2294cb044d2584646c7d3,
openbmb-minicpm-v-4.6-awq,MiniCPM-V-4.6-AWQ,OpenBMB,逐层配置/数学推导；部分模块未知,52,652,固定配置,https://huggingface.co/openbmb/MiniCPM-V-4.6-AWQ/resolve/dc74581a19b97137efe87eb2100554cb65bf98c6/config.json,dc74581a19b97137efe87eb2100554cb65bf98c6,
openbmb-minicpm-v-4.6-bnb,MiniCPM-V-4.6-BNB,OpenBMB,逐层配置/数学推导；部分模块未知,52,652,固定配置,https://huggingface.co/openbmb/MiniCPM-V-4.6-BNB/resolve/45686b6d347a3976e63911b1f168f4e420b9c992/config.json,45686b6d347a3976e63911b1f168f4e420b9c992,
openbmb-minicpm-v-4.6-gguf,MiniCPM-V-4.6-gguf,OpenBMB,资料缺口；未逐层分析,0,1,配置缺失,https://huggingface.co/openbmb/MiniCPM-V-4.6-gguf/resolve/afe9accb78d2995d214cd912920c9c92f4015faa/config.json,afe9accb78d2995d214cd912920c9c92f4015faa,HTTP Error 404: Not Found
openbmb-minicpm-v-4.6-gptq,MiniCPM-V-4.6-GPTQ,OpenBMB,逐层配置/数学推导；部分模块未知,52,652,固定配置,https://huggingface.co/openbmb/MiniCPM-V-4.6-GPTQ/resolve/6c2a8a85939f622b2e9e9fe63b109cdfcda3174b/config.json,6c2a8a85939f622b2e9e9fe63b109cdfcda3174b,
openbmb-minicpm-v-4.6-thinking,MiniCPM-V-4.6-Thinking,OpenBMB,逐层配置/数学推导；部分模块未知,52,652,固定配置,https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking/resolve/93d8f4b60ad5d1f763442cf4c19f2a71fa95af4a/config.json,93d8f4b60ad5d1f763442cf4c19f2a71fa95af4a,
openbmb-minicpm-v-4.6-thinking-awq,MiniCPM-V-4.6-Thinking-AWQ,OpenBMB,逐层配置/数学推导；部分模块未知,52,652,固定配置,https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-AWQ/resolve/a834719ab52513b2807a326d9f22caf60020ba14/config.json,a834719ab52513b2807a326d9f22caf60020ba14,
openbmb-minicpm-v-4.6-thinking-bnb,MiniCPM-V-4.6-Thinking-BNB,OpenBMB,逐层配置/数学推导；部分模块未知,52,652,固定配置,https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-BNB/resolve/cac569d6b60a18bd581f6d42a3ca0b1f77c49ac1/config.json,cac569d6b60a18bd581f6d42a3ca0b1f77c49ac1,
openbmb-minicpm-v-4.6-thinking-gguf,MiniCPM-V-4.6-Thinking-gguf,OpenBMB,资料缺口；未逐层分析,0,1,配置缺失,https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-gguf/resolve/2e49fbd34ad9df11f0e93c93c2c5a80ba7cdc5e5/config.json,2e49fbd34ad9df11f0e93c93c2c5a80ba7cdc5e5,HTTP Error 404: Not Found
openbmb-minicpm-v-4.6-thinking-gptq,MiniCPM-V-4.6-Thinking-GPTQ,OpenBMB,逐层配置/数学推导；部分模块未知,52,652,固定配置,https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking-GPTQ/resolve/f630c82da4f09f62549da0240178ed9e61414be1/config.json,f630c82da4f09f62549da0240178ed9e61414be1,
openbmb-minicpm-v-4_5,MiniCPM-V-4_5,OpenBMB,逐层配置/数学推导；部分模块未知,63,820,固定配置,https://huggingface.co/openbmb/MiniCPM-V-4_5/resolve/daef484c35ec93210ec93c5e901f8f3e9b78ee34/config.json,daef484c35ec93210ec93c5e901f8f3e9b78ee34,
openbmb-minicpm3-4b,MiniCPM3-4B,OpenBMB,逐层配置/数学推导；部分模块未知,62,683,固定配置,https://huggingface.co/openbmb/MiniCPM3-4B/resolve/d6b14ddaefdb11c624dd75c3c779549bc90b08cb/config.json,d6b14ddaefdb11c624dd75c3c779549bc90b08cb,
openbmb-minicpm3-rag-lora,MiniCPM3-RAG-LoRA,OpenBMB,逐层配置/数学推导；部分模块未知,62,683,固定配置,https://huggingface.co/openbmb/MiniCPM3-RAG-LoRA/resolve/3ee34a2c7b518f2d9be23d7138a7d29300b240f8/config.json,3ee34a2c7b518f2d9be23d7138a7d29300b240f8,
openbmb-minicpm4-0.5b,MiniCPM4-0.5B,OpenBMB,逐层配置/数学推导；部分模块未知,24,313,固定配置,https://huggingface.co/openbmb/MiniCPM4-0.5B/resolve/5253c7fcc5e29e1cf3eacb59a58adf1ba4df8630/config.json,5253c7fcc5e29e1cf3eacb59a58adf1ba4df8630,
openbmb-minicpm4-0.5b-qat-int4-gptq-format,MiniCPM4-0.5B-QAT-Int4-GPTQ-format,OpenBMB,逐层配置/数学推导；部分模块未知,24,313,固定配置,https://huggingface.co/openbmb/MiniCPM4-0.5B-QAT-Int4-GPTQ-format/resolve/0ef558cbe6ab9fd283667775a88784221b46c54f/config.json,0ef558cbe6ab9fd283667775a88784221b46c54f,
