sheet,cell,row,module,operator,field,original,verified_or_formula,classification,reason,fixed_sources,comparison_status,analysis_location
算子表,B3,3,layer_0.kda_layer,attention_input_norm,算子列表,attention_input_norm,attention_input_norm,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,C3,3,layer_0.kda_layer,attention_input_norm,npu kernel,torch_npu.npu_rms_norm,需模型、硬件、版本与调用条件证据；保留未知,设备条件未核验,出现torch_npu或fused名称不足以证明该checkpoint走这条路径,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,D3,3,layer_0.kda_layer,attention_input_norm,算子类型,RMSNorm,RMSNorm,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,E3,3,layer_0.kda_layer,attention_input_norm,inputshape,"[B,S,7168]",未核验,缺少独立实现证据,原表条目已纳入审计；缺少该运行栈/算子级证据，不能直接判错或照抄为已支持,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,F3,3,layer_0.kda_layer,attention_input_norm,output shape,"[B,S,7168]",未核验,缺少独立实现证据,原表条目已纳入审计；缺少该运行栈/算子级证据，不能直接判错或照抄为已支持,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,G3,3,layer_0.kda_layer,attention_input_norm,dim,"B,S","B,S",原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,H3,3,layer_0.kda_layer,attention_input_norm,shape范围,"symbolic:B[1, 16],S[1, 8];; fixed:7168",未核验,缺少独立实现证据,原表条目已纳入审计；缺少该运行栈/算子级证据，不能直接判错或照抄为已支持,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,I3,3,layer_0.kda_layer,attention_input_norm,input dtype,BF16,BF16激活假设与存储dtype分开；K3 routed权重MXFP4/U8打包，不能统称BF16原始权重,dtype口径/运行假设,未统一核验所有激活、累加和cache类型；存储精度不等于计算精度,"https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/aiter_mxfp4_w4a16_moe.py#L316
https://huggingface.co/moonshotai/Kimi-K3/blob/f831ab66814297da540d832a5235f8e904f29d06/modeling_kimi_linear.py#L841
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/quantization/methods/w4a8/w4a8.py#L506
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/trtllm_mxfp4_moe.py#L202",待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,J3,3,layer_0.kda_layer,attention_input_norm,output dtype,BF16,BF16激活假设与存储dtype分开；K3 routed权重MXFP4/U8打包，不能统称BF16原始权重,dtype口径/运行假设,未统一核验所有激活、累加和cache类型；存储精度不等于计算精度,"https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/aiter_mxfp4_w4a16_moe.py#L316
https://huggingface.co/moonshotai/Kimi-K3/blob/f831ab66814297da540d832a5235f8e904f29d06/modeling_kimi_linear.py#L841
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/quantization/methods/w4a8/w4a8.py#L506
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/trtllm_mxfp4_moe.py#L202",待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,K3,3,layer_0.kda_layer,attention_input_norm,input format,ND,逻辑轴顺序可记录；NPU ND/NZ实际布局未核验,逻辑与物理格式需区分,ND文本不是加载、转换或设备kernel布局的证明,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,L3,3,layer_0.kda_layer,attention_input_norm,output format,ND,逻辑轴顺序可记录；NPU ND/NZ实际布局未核验,逻辑与物理格式需区分,ND文本不是加载、转换或设备kernel布局的证明,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,M3,3,layer_0.kda_layer,attention_input_norm,dtype next1,(空白),未提供候选,量化候选未验证,A8W8/A4W4等不能视为检查点格式或已支持内核,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,N3,3,layer_0.kda_layer,attention_input_norm,dtype next2,(空白),未提供候选,量化候选未验证,A8W8/A4W4等不能视为检查点格式或已支持内核,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,O3,3,layer_0.kda_layer,attention_input_norm,next3,(空白),未提供候选,量化候选未验证,A8W8/A4W4等不能视为检查点格式或已支持内核,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,P3,3,layer_0.kda_layer,attention_input_norm,并行资源占用情况,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,Q3,3,layer_0.kda_layer,attention_input_norm,duration,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,R3,3,layer_0.kda_layer,attention_input_norm,计算利用率,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,S3,3,layer_0.kda_layer,attention_input_norm,mte,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,T3,3,layer_0.kda_layer,attention_input_norm,scalar,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,U3,3,layer_0.kda_layer,attention_input_norm,融合算子分析,(空白),待按实现与性能证据分析,未提供融合分析,不能由空白推定可融合或有性能收益,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,A4,4,layer_0.kda_layer,qkv_proj,模块,layer_0.kda_layer,layer_0.kda_layer,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,B4,4,layer_0.kda_layer,qkv_proj,算子列表,qkv_proj,qkv_proj,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,C4,4,layer_0.kda_layer,qkv_proj,npu kernel,torch.matmul,框架/数学操作：torch.matmul；NPU kernel未核验,接口层级误分类,框架API不是NPU设备kernel，不能作一对一映射,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,差异,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,D4,4,layer_0.kda_layer,qkv_proj,算子类型,GEMM,GEMM,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,E4,4,layer_0.kda_layer,qkv_proj,inputshape,"[B,S,7168];[7168,36864/tp]",Q/K/V逻辑各12288=96*128；合并36864=3*12288；每rank宽度需TP分派,融合/分片表示不同,参考源码三投影/三卷积与合并qkv形式可等价；不能仅因融合方式不同判错,"https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L49
https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130
https://huggingface.co/moonshotai/Kimi-K3/blob/f831ab66814297da540d832a5235f8e904f29d06/modeling_kimi_linear.py#L919
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L135",待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,F4,4,layer_0.kda_layer,qkv_proj,output shape,"[B,S,36864/tp]",Q/K/V逻辑各12288=96*128；合并36864=3*12288；每rank宽度需TP分派,融合/分片表示不同,参考源码三投影/三卷积与合并qkv形式可等价；不能仅因融合方式不同判错,"https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L49
https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130
https://huggingface.co/moonshotai/Kimi-K3/blob/f831ab66814297da540d832a5235f8e904f29d06/modeling_kimi_linear.py#L919
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L135",待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,G4,4,layer_0.kda_layer,qkv_proj,dim,"B,S","B,S",原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,H4,4,layer_0.kda_layer,qkv_proj,shape范围,"symbolic:B[1, 16],S[1, 8];; fixed:7168,36864",Q/K/V逻辑各12288=96*128；合并36864=3*12288；每rank宽度需TP分派,融合/分片表示不同,参考源码三投影/三卷积与合并qkv形式可等价；不能仅因融合方式不同判错,"https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L49
https://github.com/pytorch/pytorch/blob/9b6e45278f06dc46c14d32220063f01d249fc21d/torch/nn/modules/linear.py#L130
https://huggingface.co/moonshotai/Kimi-K3/blob/f831ab66814297da540d832a5235f8e904f29d06/modeling_kimi_linear.py#L919
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/ops/linear.py#L135",待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,I4,4,layer_0.kda_layer,qkv_proj,input dtype,BF16;BF16,BF16激活假设与存储dtype分开；K3 routed权重MXFP4/U8打包，不能统称BF16原始权重,dtype口径/运行假设,未统一核验所有激活、累加和cache类型；存储精度不等于计算精度,"https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/aiter_mxfp4_w4a16_moe.py#L316
https://huggingface.co/moonshotai/Kimi-K3/blob/f831ab66814297da540d832a5235f8e904f29d06/modeling_kimi_linear.py#L841
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/quantization/methods/w4a8/w4a8.py#L506
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/trtllm_mxfp4_moe.py#L202",待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,J4,4,layer_0.kda_layer,qkv_proj,output dtype,BF16,BF16激活假设与存储dtype分开；K3 routed权重MXFP4/U8打包，不能统称BF16原始权重,dtype口径/运行假设,未统一核验所有激活、累加和cache类型；存储精度不等于计算精度,"https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/aiter_mxfp4_w4a16_moe.py#L316
https://huggingface.co/moonshotai/Kimi-K3/blob/f831ab66814297da540d832a5235f8e904f29d06/modeling_kimi_linear.py#L841
https://github.com/vllm-project/vllm-ascend/blob/0003e1b75b8ff4d35a5871fee1b2e9e7860bc3f1/vllm_ascend/quantization/methods/w4a8/w4a8.py#L506
https://github.com/vllm-project/vllm/blob/97dc6b19d2fe92b794b49e684677a2e1a8b2c540/vllm/model_executor/layers/fused_moe/experts/trtllm_mxfp4_moe.py#L202",待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,K4,4,layer_0.kda_layer,qkv_proj,input format,ND;ND,逻辑轴顺序可记录；NPU ND/NZ实际布局未核验,逻辑与物理格式需区分,ND文本不是加载、转换或设备kernel布局的证明,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,L4,4,layer_0.kda_layer,qkv_proj,output format,ND,逻辑轴顺序可记录；NPU ND/NZ实际布局未核验,逻辑与物理格式需区分,ND文本不是加载、转换或设备kernel布局的证明,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,M4,4,layer_0.kda_layer,qkv_proj,dtype next1,A8w8->BF16,候选未评估,量化候选未验证,A8W8/A4W4等不能视为检查点格式或已支持内核,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,N4,4,layer_0.kda_layer,qkv_proj,dtype next2,A4W4->BF16,候选未评估,量化候选未验证,A8W8/A4W4等不能视为检查点格式或已支持内核,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,O4,4,layer_0.kda_layer,qkv_proj,next3,(空白),未提供候选,量化候选未验证,A8W8/A4W4等不能视为检查点格式或已支持内核,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,P4,4,layer_0.kda_layer,qkv_proj,并行资源占用情况,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,Q4,4,layer_0.kda_layer,qkv_proj,duration,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,R4,4,layer_0.kda_layer,qkv_proj,计算利用率,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,S4,4,layer_0.kda_layer,qkv_proj,mte,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,T4,4,layer_0.kda_layer,qkv_proj,scalar,(空白),未实测,无硬件实测,空白未提供测量值，本次也未运行硬件；不填猜测值,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,U4,4,layer_0.kda_layer,qkv_proj,融合算子分析,(空白),待按实现与性能证据分析,未提供融合分析,不能由空白推定可融合或有性能收益,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,待核验,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,A5,5,layer_0.kda_layer,qkv_conv,模块,layer_0.kda_layer,layer_0.kda_layer,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
算子表,B5,5,layer_0.kda_layer,qkv_conv,算子列表,qkv_conv,qkv_conv,原标签/符号保留,结构标签本身不证明实际调用链；后续列独立核验,https://huggingface.co/moonshotai/Kimi-K3/resolve/f831ab66814297da540d832a5235f8e904f29d06/config.json,一致,Kimi-K3 / 模板对照；具体算子见独立算子表
